group_id,permission_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,29
1,30
1,31
1,32
1,33
1,41
1,42
1,43
1,46
1,48
1,49
1,50
1,65
1,66
1,67
2,3
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,29
2,30
2,31
2,32
2,33
2,41
2,42
2,43
2,46
2,48
2,49
2,50
2,65
2,66
2,67
3,14
3,15
3,18
3,26
3,27
3,28
3,29
3,30
3,31
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
4,14
4,15
4,18
4,26
4,27
4,28
4,29
4,30
4,31
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
